Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.9877023980323838,0.9924374516835615,0.966416658063991
mvtec_pill,0.9874522640480087,0.9831629094358173,0.9358377862388999
mvtec_capsule,0.978859194256083,0.9892268653590313,0.9337514356389317
mvtec_carpet,0.9959871589085072,0.9786114989321785,0.87383544323098
mvtec_grid,0.9991645781119465,0.9815579139981949,0.933325337505408
mvtec_tile,0.9981962481962483,0.9639365761802006,0.9034077205567708
mvtec_wood,1.0,0.9400669072688204,0.8426689586592758
mvtec_zipper,0.9989495798319328,0.9886415907452041,0.9599118742347149
mvtec_cable,1.0,0.9743959439884652,0.9061233790014906
mvtec_toothbrush,1.0,0.9852011805731938,0.933656689121183
mvtec_transistor,1.0,0.9682432789630097,0.9388414110134319
mvtec_metal_nut,1.0,0.9867976845317838,0.8825280231915478
mvtec_bottle,1.0,0.9799635621150432,0.9023037371668097
mvtec_hazelnut,0.9978571428571429,0.9763772235886846,0.8114988407304523
mvtec_leather,1.0,0.991682540095101,0.9661335444518969
Mean,0.9962779042828169,0.9786868751638861,0.9126827225870521
