timestamp,temp_c,util_pct,mem_used_mib,mem_total_mib,power_w,sm_clock_mhz
2026-09-20 23:56:09,46,0,0,8151,14.09,0
2026-09-20 23:56:20,60,98,4036,8151,120.62,2257
2026-09-20 23:56:30,51,28,4036,8151,56.30,2610
2026-09-20 23:56:40,54,0,4036,8151,58.35,2407
2026-09-20 23:56:51,54,0,4036,8151,58.54,2265
2026-09-20 23:57:01,63,99,4036,8151,68.15,1920
2026-09-20 23:57:11,63,100,4036,8151,115.43,2190
2026-09-20 23:57:21,63,99,4036,8151,61.36,1620
2026-09-20 23:57:32,61,100,4036,8151,59.81,1882
2026-09-20 23:57:42,52,44,4036,8151,63.28,2602
