category,shot,i_auroc,aupr,f1_max,elapsed_sec
bottle,1,0.9880952380952381,0.9962048099386185,0.96875,593.7193853855133
cable,1,0.875,0.9137134185882464,0.8540540540540541,1031.0754387378693
capsule,1,0.6641404068607898,0.8782112735130776,0.9152542372881356,967.1846981048584
carpet,1,0.9967897271268057,0.9990138507262403,0.9830508474576272,848.5256350040436
grid,1,0.9891395154553049,0.99661592426123,0.9824561403508771,559.2470335960388
hazelnut,1,0.9339285714285716,0.9649236820182485,0.8918918918918919,778.6323108673096
leather,1,1.0,1.0000000000000002,1.0,906.6874570846558
metal_nut,1,0.9706744868035191,0.9933926496182716,0.9560439560439561,1332.0663962364197
pill,1,0.8543371522094927,0.9720691261982999,0.9155844155844156,1292.4984772205353
screw,1,0.7550727608116417,0.8913490406532834,0.8592057761732852,1157.8157904148102
tile,1,0.9992784992784993,0.999721516513582,0.9822485207100592,851.8281507492065
toothbrush,1,0.9138888888888889,0.9669633314699421,0.8888888888888888,301.2146668434143
transistor,1,0.8945833333333333,0.8504334683242727,0.8043478260869565,696.858592748642
wood,1,0.9929824561403509,0.9978242662259712,0.967741935483871,574.1740112304688
zipper,1,0.8897058823529412,0.9678046343666826,0.9098712446351931,1037.950234413147
mean,1,0.9145077945856919,0.9592160661610644,0.925292648976614,12929.478278636932
