category,shot,i_auroc,aupr,f1_max,elapsed_sec
bottle,0,0.9857142857142857,0.9953648913923001,0.976,14.634580373764038
cable,0,0.8491379310344828,0.8973309730228646,0.84375,38.290342569351196
capsule,0,0.6886717191862785,0.9055426308322971,0.9045643153526971,36.803314447402954
carpet,0,0.9931781701444623,0.9979523787788755,0.9777777777777777,16.144003868103027
grid,0,0.9916457811194654,0.9971173121810819,0.9824561403508771,12.825236082077026
hazelnut,0,0.9235714285714286,0.959585426969103,0.8827586206896552,15.84244990348816
leather,0,1.0,1.0000000000000002,1.0,17.779132843017578
metal_nut,0,0.9545454545454545,0.9896004460144274,0.9502762430939227,15.68631887435913
pill,0,0.8126022913256955,0.9628511570195353,0.9155844155844156,39.25703763961792
screw,0,0.7207419553187129,0.8775338847965308,0.8561151079136691,38.62102723121643
tile,0,0.9992784992784993,0.9997165331996252,0.9940828402366864,15.809849977493286
toothbrush,0,0.8638888888888889,0.9493043942320887,0.875,10.000003337860107
transistor,0,0.8925,0.84763824284283,0.7912087912087912,14.439725637435913
wood,0,0.9763157894736841,0.992626608764199,0.9523809523809523,12.985313892364502
zipper,0,0.9104516806722689,0.9742783021333976,0.9163346613545816,37.90944814682007
mean,0,0.9041495916849073,0.9564295454786104,0.9212193243962684,337.0287928581238
