Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_bottle,1.0,0.9848537369085901,0.9795886292451783
mvtec_cable,0.9979385307346327,0.9837054603924578,0.9747649711456481
mvtec_capsule,0.9808536098923016,0.9895238147127827,0.9873964081135267
mvtec_carpet,0.9851524879614767,0.9906982103683517,0.9880819459755003
mvtec_grid,0.9774436090225562,0.9877082843372211,0.9833771582283412
mvtec_hazelnut,1.0,0.9867084535118201,0.979049638272421
mvtec_leather,1.0,0.9928497808088933,0.9903400173063367
mvtec_metal_nut,0.9980449657869013,0.9832986521119371,0.9791091118169555
mvtec_pill,0.9680851063829788,0.9781580902908358,0.9761910437263426
mvtec_screw,0.9805287968846075,0.9953139109238787,0.9938966862475668
mvtec_tile,0.996031746031746,0.9571781115864658,0.9407726944032402
mvtec_toothbrush,1.0,0.9857894577918558,0.9800532893215239
mvtec_transistor,0.9995833333333333,0.9628206270093798,0.9294253572436781
mvtec_wood,0.9903508771929825,0.9503456946427356,0.9369953975852962
mvtec_zipper,0.9923844537815126,0.988796134806265,0.9857923701843267
Mean,0.9910931678003353,0.9811832280135647,0.9736556479210586
